,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,Khegasi,CAVE,"['breach', 'sova', 'jett']",356,1.59,206.8,0.94,65%,126.9,0.72,0.16,0.12,0.13,23%,9%
1,bakkushaw,QLSH.S,"['viper', 'breach', 'skye']",346,1.27,238.4,1.29,78%,149.4,0.86,0.40,0.10,0.07,29%,8%
2,WISPERIOUS,AKA,"['sova', 'raze', 'killjoy']",226,1.24,240.9,1.05,82%,160.6,0.79,0.34,0.11,0.09,21%,14%
3,Leo,FNC,"['omen', 'brimstone', 'sage']",6624,1.24,219.9,1.28,79%,143.8,0.78,0.36,0.07,0.04,22%,14%
4,Jid,FOCU,"['vyse', 'cypher', 'jett']",257,1.23,239.2,1.33,73%,156.9,0.87,0.17,0.13,0.05,40%,12%
5,Jade,(+7),"['jett', 'raze', 'neon']",3013,1.23,251.8,1.25,75%,157.5,0.89,0.34,0.15,0.11,31%,21%
6,Peggyyyyy,(+4),"['omen', 'killjoy', 'sova']",343,1.22,223.5,1.06,72%,146.6,0.80,0.22,0.09,0.06,29%,11%
7,Vania,G2.G,"['skye', 'sage', 'viper']",5239,1.22,229.3,1.28,78%,146.2,0.82,0.38,0.10,0.08,32%,21%
8,Joliinaa,SK.N,"['jett', 'neon', 'raze']",5337,1.21,238.8,1.25,76%,153.7,0.84,0.35,0.12,0.08,24%,19%
9,Sayonara,VIT.RE,"['yoru', 'cypher', 'sova']",1107,1.20,245.2,1.30,76%,160.6,0.87,0.29,0.12,0.09,33%,18%
10,neph,(+8),"['brimstone', 'jett', 'omen']",1162,1.20,222.8,1.08,74%,139.6,0.77,0.21,0.13,0.11,22%,15%
11,fudgestars,(+1),"['killjoy', 'vyse', 'iso']",473,1.20,244.0,1.24,70%,162.1,0.85,0.21,0.14,0.12,30%,12%
12,lukyololo,EST,"['neon', 'jett', 'raze']",315,1.19,263.1,1.25,73%,169.1,0.94,0.19,0.21,0.17,22%,16%
