,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,safiaa,KC.GC,"['reyna', 'chamber', 'killjoy']",205,1.38,272.2,1.47,72%,181.9,0.98,0.15,0.14,0.12,37%,14%
1,aNNja,Burb,"['iso', 'jett']",265,1.30,284.5,1.33,75%,186.2,1.00,0.21,0.21,0.16,37%,4%
2,purp0,JL,"['jett', 'chamber', 'kayo']",601,1.26,261.1,1.33,71%,167.9,0.94,0.17,0.21,0.14,37%,11%
3,NaTTs,281,['jett'],281,1.26,266.3,1.32,71%,177.1,0.95,0.14,0.25,0.18,27%,10%
4,VASQUEZ,BAAM,"['jett', 'raze', 'neon']",303,1.23,275.8,1.28,67%,177.9,1.00,0.14,0.19,0.18,28%,29%
5,Akai,FLC,"['raze', 'jett', 'neon']",3540,1.18,265.7,1.27,73%,171.5,0.93,0.18,0.20,0.17,26%,19%
6,anesilia,KC.GC,"['fade', 'killjoy', 'skye']",546,1.18,222.1,1.08,76%,148.8,0.75,0.42,0.07,0.06,23%,16%
7,MAGiK,TWIS,"['breach', 'deadlock', 'omen']",736,1.16,218.3,1.17,77%,141.3,0.80,0.40,0.06,0.05,31%,14%
8,Sucette,GX.GC,"['omen', 'brimstone', 'vyse']",1017,1.15,223.1,1.17,76%,141.6,0.81,0.36,0.09,0.07,30%,17%
9,sickrey,TWIS,"['kayo', 'skye', 'breach']",3866,1.14,200.9,1.15,76%,134.9,0.71,0.36,0.06,0.05,26%,14%
10,Pa1ze,GMX,"['jett', 'waylay', 'raze']",482,1.13,255.3,1.18,68%,165.3,0.89,0.16,0.23,0.20,28%,8%
11,aimDLL,GMX,"['cypher', 'reyna', 'killjoy']",385,1.13,211.9,1.13,68%,142.3,0.79,0.17,0.09,0.05,36%,22%
12,7ssk7,KPI,"['skye', 'kayo', 'reyna']",1115,1.13,191.0,1.12,78%,121.7,0.70,0.49,0.06,0.06,31%,11%
13,sibeastw0w,QAD,"['chamber', 'raze', 'jett']",4708,1.13,242.7,1.17,71%,157.0,0.85,0.21,0.20,0.16,25%,14%
