,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,Lucid,MF,"['phoenix', 'cypher', 'breach']",239,1.22,190.1,0.86,78%,117.4,0.68,0.20,0.07,0.10,18%,13%
1,s0nsuZ,EXG.GC,"['skye', 'jett', 'sage']",477,1.21,248.3,1.27,74%,148.7,0.87,0.20,0.19,0.10,34%,20%
2,disk0,ORD,"['sage', 'omen', 'killjoy']",2916,1.17,226.6,1.22,74%,147.0,0.80,0.26,0.09,0.07,23%,15%
3,murza,VSH,"['raze', 'reyna', 'jett']",1501,1.17,241.8,1.23,73%,157.7,0.87,0.22,0.14,0.12,23%,18%
4,soko,EXG.GC,"['raze', 'jett', 'phoenix']",784,1.16,252.9,1.20,72%,163.2,0.89,0.20,0.14,0.09,30%,11%
5,LAM,ARC,"['phoenix', 'sova', 'raze']",439,1.14,236.5,1.16,67%,155.7,0.86,0.19,0.11,0.13,34%,16%
6,pl1xx,WOL,"['phoenix', 'reyna', 'raze']",1268,1.14,240.5,1.27,76%,153.1,0.84,0.32,0.11,0.09,18%,19%
7,KADIRI,KING,"['cypher', 'yoru', 'jett']",1826,1.13,224.2,1.17,72%,148.4,0.80,0.20,0.11,0.08,37%,14%
8,tixx,KING,"['phoenix', 'reyna', 'jett']",1790,1.13,217.6,1.11,76%,143.3,0.76,0.38,0.10,0.07,29%,18%
9,ferret,RIE,"['fade', 'astra', 'brimstone']",747,1.12,226.2,1.14,74%,147.1,0.80,0.33,0.12,0.10,33%,14%
10,bethany,RIE,"['omen', 'brimstone', 'sage']",588,1.12,199.7,1.14,80%,127.5,0.71,0.42,0.07,0.06,23%,19%
11,NOVAE,in,"['raze', 'neon', 'yoru']",561,1.12,233.4,1.10,67%,155.1,0.83,0.15,0.18,0.13,31%,22%
12,Dragon,KING,"['reyna', 'viper', 'skye']",4376,1.12,229.3,1.16,72%,149.7,0.81,0.27,0.13,0.11,31%,19%
13,Maple,CCG,"['sova', 'skye', 'viper']",2307,1.12,228.0,1.13,76%,149.9,0.77,0.33,0.11,0.09,20%,20%
14,Emi,SL9,"['kayo', 'breach', 'harbor']",690,1.12,223.1,1.12,71%,145.4,0.78,0.34,0.11,0.09,22%,16%
15,devid,BFG,"['raze', 'breach', 'kayo']",359,1.12,240.0,1.16,70%,143.4,0.85,0.25,0.13,0.13,32%,19%
16,LEW,KING,"['jett', 'chamber', 'reyna']",4209,1.11,232.4,1.16,71%,154.0,0.82,0.17,0.15,0.12,27%,14%
17,junglew0w,FC,"['brimstone', 'omen', 'viper']",1828,1.11,196.5,1.07,72%,130.1,0.71,0.25,0.05,0.05,22%,18%
18,Mazuong,BOBO,"['jett', 'raze', 'chamber']",958,1.11,256.0,1.13,71%,172.0,0.88,0.20,0.19,0.13,30%,10%
19,Texta,ORD,"['phoenix', 'breach', 'omen']",2910,1.10,214.8,1.13,73%,130.4,0.75,0.34,0.09,0.09,19%,19%
20,FETA,FH,"['raze', 'jett', 'neon']",3306,1.10,239.2,1.14,71%,157.4,0.83,0.20,0.18,0.16,27%,17%
21,ACE,FOC,"['raze', 'kayo', 'reyna']",1010,1.10,238.2,1.13,70%,155.7,0.83,0.22,0.14,0.14,35%,25%
22,tiff,RIE,"['skye', 'breach', 'viper']",640,1.10,214.3,1.11,75%,144.3,0.75,0.29,0.10,0.08,30%,3%
23,Squeakz,(+2),"['reyna', 'viper', 'sova']",332,1.10,227.2,1.14,68%,148.5,0.81,0.20,0.13,0.09,30%,16%
24,OvO,288,"['cypher', 'killjoy', 'vyse']",288,1.09,212.7,1.08,68%,145.7,0.76,0.21,0.08,0.13,25%,20%
25,ninim,ANTC,"['cypher', 'jett', 'reyna']",1607,1.08,243.3,1.14,70%,152.6,0.84,0.19,0.18,0.13,22%,9%
26,Shinon,Diva,"['astra', 'omen', 'viper']",354,1.08,214.4,1.03,69%,141.6,0.73,0.35,0.07,0.08,27%,16%
27,dokja,SIB,"['cypher', 'killjoy', 'neon']",1157,1.08,229.9,1.14,71%,145.3,0.83,0.19,0.10,0.12,27%,17%
28,Melo,NX,"['sova', 'fade']",314,1.08,196.9,1.06,71%,130.4,0.71,0.19,0.05,0.04,27%,17%
29,signed,JJH,"['sova', 'jett', 'reyna']",3529,1.07,195.8,1.07,74%,129.1,0.68,0.34,0.07,0.06,24%,13%
30,IKANA,KING,"['sage', 'omen', 'breach']",2703,1.07,201.4,1.10,73%,133.9,0.72,0.32,0.07,0.07,25%,16%
31,dcey,xyz,"['reyna', 'deadlock', 'gekko']",265,1.07,217.4,1.16,71%,139.4,0.82,0.18,0.09,0.10,46%,19%
32,Maple,(+2),"['omen', 'iso', 'deadlock']",352,1.07,215.2,1.05,71%,144.0,0.76,0.29,0.08,0.09,39%,9%
33,rDeeW,JJH,"['jett', 'chamber', 'neon']",5052,1.07,211.8,1.12,71%,134.8,0.75,0.25,0.11,0.09,25%,15%
34,Autumn,FPX,"['jett', 'raze', 'cypher']",2768,1.07,230.4,1.16,72%,140.6,0.80,0.18,0.18,0.14,22%,15%
35,Dasani,HSW,"['phoenix', 'jett', 'breach']",863,1.06,223.4,1.07,70%,151.0,0.79,0.19,0.16,0.14,30%,10%
36,Monokuma,281,"['neon', 'raze', 'jett']",281,1.06,222.6,1.03,65%,147.6,0.79,0.18,0.15,0.14,25%,16%
37,Blessed,BOBO,"['omen', 'brimstone', 'skye']",2112,1.06,209.1,1.02,72%,136.0,0.72,0.39,0.09,0.10,30%,15%
38,WRONSKI,GE,"['jett', 'chamber', 'raze']",2528,1.06,252.0,1.11,68%,158.0,0.87,0.17,0.21,0.19,28%,12%
39,Ciko,BONK,"['sova', 'omen', 'astra']",2292,1.06,196.7,0.99,71%,128.2,0.69,0.32,0.06,0.06,20%,15%
40,Sinaway,FH,"['fade', 'breach', 'sova']",3346,1.05,208.2,1.07,72%,137.4,0.74,0.29,0.08,0.08,31%,12%
41,fusion,(+7),"['gekko', 'raze', 'viper']",417,1.05,204.3,1.03,69%,134.7,0.72,0.23,0.07,0.06,26%,10%
42,SoGiulia,211,"['breach', 'sova']",211,1.05,188.9,0.98,71%,125.9,0.67,0.38,0.01,0.06,25%,14%
43,alannah,RIE,"['cypher', 'killjoy', 'chamber']",751,1.05,202.9,1.07,74%,134.4,0.71,0.30,0.09,0.08,25%,15%
44,hayyel,EXG.GC,"['raze', 'jett', 'reyna']",563,1.04,225.0,1.04,72%,135.0,0.77,0.37,0.15,0.12,19%,13%
45,MAMMAL,(+5),"['tejo', 'gekko', 'astra']",654,1.04,212.6,1.05,70%,139.2,0.76,0.28,0.09,0.11,28%,24%
46,zenox,HSW,"['fade', 'jett', 'raze']",1388,1.04,228.8,1.03,69%,151.8,0.79,0.22,0.16,0.15,28%,10%
47,gek,FURY,"['yoru', 'jett', 'raze']",457,1.04,222.4,1.09,68%,138.2,0.82,0.15,0.14,0.16,29%,17%
48,punda,ANTC,"['phoenix', 'raze', 'omen']",3621,1.04,214.0,0.99,71%,140.6,0.72,0.32,0.10,0.10,18%,13%
49,kiss,VSH,"['raze', 'jett', 'clove']",2281,1.04,222.7,1.04,72%,147.1,0.77,0.27,0.15,0.14,32%,20%
50,vizsla,FH,"['chamber', 'jett', 'kayo']",3442,1.04,209.0,1.08,72%,136.7,0.73,0.23,0.12,0.10,28%,12%
51,Dutti,MF,"['jett', 'raze', 'reyna']",1714,1.04,224.7,1.03,68%,145.8,0.77,0.23,0.13,0.12,26%,12%
52,Klockzy,CD,"['jett', 'raze', 'skye']",1148,1.04,219.0,1.03,70%,139.3,0.76,0.21,0.15,0.14,21%,8%
53,binjo,Peac,"['chamber', 'cypher', 'killjoy']",410,1.04,209.5,1.03,71%,140.9,0.76,0.17,0.08,0.09,24%,10%
54,HappyMuffins,(+3),"['viper', 'chamber', 'cypher']",210,1.04,184.4,0.91,68%,123.2,0.65,0.27,0.05,0.07,25%,18%
55,blue,Papa,"['cypher', 'killjoy', 'viper']",243,1.04,200.0,1.07,72%,123.0,0.73,0.22,0.07,0.12,34%,23%
56,tucks,ORD,"['jett', 'raze', 'sova']",2305,1.04,196.0,1.05,73%,124.6,0.69,0.22,0.10,0.11,23%,16%
57,SWERL,NOVA,"['omen', 'raze', 'jett']",2866,1.04,218.2,1.04,70%,143.3,0.75,0.26,0.11,0.12,28%,15%
58,Zauqk,FH,"['fade', 'sova', 'skye']",3306,1.03,200.7,1.00,73%,132.8,0.69,0.32,0.07,0.07,23%,14%
59,Saitama,(+2),"['omen', 'brimstone', 'viper']",352,1.03,201.9,0.96,71%,134.3,0.69,0.36,0.13,0.08,30%,5%
60,Sh0paN,LNF,"['sova', 'gekko', 'cypher']",330,1.03,221.1,1.05,72%,145.3,0.78,0.23,0.12,0.12,19%,16%
61,Pocket,CD,"['jett', 'phoenix', 'skye']",1005,1.03,214.0,0.99,72%,142.1,0.74,0.27,0.11,0.10,20%,9%
62,skrawl,FC,"['sova', 'killjoy', 'breach']",3571,1.03,197.4,0.98,71%,130.5,0.67,0.29,0.07,0.07,26%,11%
63,Noobster,(+2),"['kayo', 'reyna', 'viper']",321,1.03,201.4,1.03,69%,130.3,0.72,0.31,0.11,0.13,29%,14%
64,Rosa,SL9,"['skye', 'raze', 'jett']",459,1.03,224.2,1.05,71%,142.2,0.78,0.28,0.12,0.11,17%,18%
65,MaiShiu,FOC,"['sova', 'sage', 'skye']",2747,1.03,193.3,0.98,72%,128.7,0.67,0.36,0.08,0.07,26%,15%
66,ANDY,FH,"['jett', 'raze', 'neon']",2748,1.03,224.5,1.06,69%,143.4,0.78,0.21,0.14,0.13,20%,12%
67,Bonobo,OG,"['cypher', 'vyse', 'tejo']",2548,1.02,212.1,1.05,70%,140.1,0.76,0.22,0.12,0.12,31%,14%
68,afino,293,"['sova', 'breach', 'kayo']",293,1.02,182.2,0.93,72%,121.6,0.63,0.39,0.04,0.04,27%,12%
69,InfrequeNt,WC,"['jett', 'reyna', 'raze']",1720,1.02,214.4,1.04,72%,136.5,0.73,0.27,0.12,0.10,21%,9%
70,JAMIE,(+1),"['brimstone', 'viper', 'omen']",288,1.02,182.7,0.99,72%,116.6,0.65,0.35,0.06,0.06,23%,13%
71,Hoodlum,(+2),"['tejo', 'breach', 'reyna']",682,1.02,227.8,0.99,70%,149.8,0.83,0.25,0.09,0.09,39%,15%
72,wizard,WC,"['omen', 'killjoy']",435,1.02,195.2,0.97,67%,123.3,0.67,0.22,0.08,0.06,16%,12%
73,sarvo,EVE.GC,"['jett', 'neon', 'reyna']",216,1.01,234.4,0.94,65%,157.1,0.75,0.24,0.21,0.25,21%,20%
74,Myth,FOC,"['killjoy', 'sova', 'breach']",2873,1.01,189.5,0.98,73%,123.1,0.67,0.37,0.07,0.08,25%,15%
75,toadfish,NOOB.GC,"['killjoy', 'cypher', 'deadlock']",232,1.01,192.3,0.98,69%,134.4,0.69,0.19,0.08,0.06,22%,12%
76,McKinley,BOBO,"['viper', 'sage', 'sova']",1997,1.01,194.1,0.98,70%,131.6,0.67,0.30,0.07,0.08,25%,15%
