,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,something,PRX,"['jett', 'reyna', 'raze']",862,1.35,286.1,1.41,73%,182.4,1.02,0.19,0.19,0.13,22%,20%
1,Vici,JDG,"['reyna', 'chamber', 'omen']",478,1.25,219.2,1.38,76%,144.4,0.81,0.30,0.05,0.06,28%,16%
2,Jemkin,RRQ,"['killjoy', 'reyna', 'raze']",2211,1.23,260.8,1.28,73%,168.6,0.93,0.17,0.20,0.14,30%,19%
3,Lakia,GEN,"['sova', 'skye', 'raze']",271,1.20,259.6,1.21,73%,171.7,0.90,0.25,0.14,0.13,26%,7%
4,miNt,FL.GC,"['jett', 'raze', 'iso']",1391,1.20,264.3,1.31,72%,167.4,0.95,0.15,0.23,0.17,34%,16%
5,iZu,T1,"['yoru', 'sova', 'phoenix']",768,1.19,253.0,1.27,75%,159.2,0.89,0.16,0.20,0.15,25%,17%
6,Moco,FL.GC,"['omen', 'astra', 'viper']",1674,1.19,212.6,1.22,77%,134.4,0.75,0.46,0.07,0.06,25%,19%
7,HYUNMIN,DRX,"['raze', 'jett']",329,1.19,263.3,1.25,75%,173.1,0.90,0.20,0.18,0.11,26%,4%
8,suzu,FL.GC,"['sage', 'omen', 'raze']",1995,1.17,255.5,1.24,72%,166.4,0.89,0.24,0.19,0.16,23%,17%
9,Meteor,T1,"['jett', 'raze', 'chamber']",1043,1.15,258.7,1.23,70%,162.2,0.91,0.15,0.23,0.14,25%,17%
10,Sak,SZ,"['jett', 'killjoy', 'raze']",370,1.15,198.1,0.97,71%,140.1,0.69,0.27,0.07,0.07,22%,12%
11,dream3r,NOJ,"['fade', 'sova', 'jett']",327,1.15,223.5,1.20,74%,147.8,0.79,0.24,0.14,0.14,24%,6%
12,KEN,CGZ,"['raze', 'clove', 'jett']",668,1.15,237.4,1.16,72%,162.3,0.82,0.24,0.15,0.12,25%,19%
13,Foxy9,GEN,"['jett', 'raze']",283,1.14,255.3,1.15,70%,160.8,0.90,0.14,0.25,0.18,30%,8%
14,Kr1stal,GE,"['kayo', 'sage', 'breach']",2081,1.12,217.7,1.12,73%,141.3,0.76,0.29,0.10,0.10,23%,16%
15,Seoldam,RID,"['jett', 'raze', 'skye']",3073,1.12,244.5,1.20,73%,149.1,0.86,0.20,0.19,0.13,20%,13%
16,Bazzi,GE,"['breach', 'sova', 'jett']",822,1.12,220.5,1.09,73%,138.0,0.77,0.23,0.12,0.11,19%,15%
17,YamzzI,FL.GC,"['killjoy', 'cypher', 'reyna']",1391,1.12,201.3,1.17,73%,134.0,0.74,0.30,0.08,0.07,31%,20%
18,Lumo,SZ,"['omen', 'harbor', 'kayo']",967,1.11,198.3,1.10,78%,128.5,0.70,0.45,0.05,0.05,24%,14%
19,Laz,ZETA,"['cypher', 'killjoy', 'omen']",4539,1.10,220.7,1.17,70%,141.5,0.78,0.22,0.13,0.10,28%,14%
20,eKo,NFX,"['breach', 'sova', 'skye']",1737,1.09,238.4,1.08,73%,153.6,0.82,0.25,0.17,0.13,22%,15%
21,Meiy,DFM,"['skye', 'jett', 'reyna']",4567,1.09,233.6,1.14,72%,149.1,0.83,0.18,0.16,0.13,25%,18%
22,LOB,RC,"['fade', 'kayo', 'breach']",2486,1.09,196.6,1.07,75%,130.7,0.70,0.34,0.04,0.05,28%,17%
23,SyouTa,MRSH,"['astra', 'viper', 'raze']",3596,1.08,219.4,1.12,71%,144.1,0.79,0.24,0.12,0.11,28%,14%
24,Ady,RRX,"['omen', 'brimstone', 'skye']",364,1.08,198.5,1.05,73%,130.0,0.71,0.38,0.08,0.04,22%,20%
25,popogachi,IGZ,"['sova', 'sage', 'skye']",3207,1.08,211.9,1.04,73%,144.6,0.72,0.35,0.08,0.07,23%,13%
26,Yotaa,ZER,"['jett', 'raze', 'yoru']",427,1.08,252.1,1.13,71%,164.1,0.86,0.16,0.27,0.22,25%,10%
27,TenTen,ZETA,"['kayo', 'raze', 'jett']",1664,1.07,240.8,1.09,69%,154.3,0.82,0.19,0.20,0.18,18%,15%
28,Hals,FL,"['omen', 'viper', 'cypher']",2178,1.07,217.8,1.13,72%,141.6,0.77,0.21,0.13,0.12,24%,23%
29,Yunah,SZ.GC,"['viper', 'killjoy', 'kayo']",311,1.07,211.0,1.06,73%,137.1,0.75,0.32,0.05,0.08,28%,8%
30,Gwangboong,QTD,"['jett', 'raze', 'yoru']",2013,1.06,233.9,1.07,72%,152.9,0.81,0.20,0.18,0.16,26%,15%
31,Aace,FL,"['cypher', 'astra', 'vyse']",2076,1.06,222.3,1.16,72%,145.1,0.81,0.20,0.13,0.11,34%,12%
32,Only1,DLT,"['raze', 'reyna', 'jett']",604,1.06,228.1,1.09,70%,146.9,0.81,0.18,0.20,0.15,26%,18%
33,tixx,KING,"['omen', 'brimstone', 'viper']",382,1.06,192.4,0.98,75%,128.0,0.66,0.43,0.09,0.06,28%,19%
34,yatsuka,RID,"['raze', 'omen', 'viper']",1994,1.06,196.4,1.10,73%,129.3,0.72,0.25,0.08,0.07,36%,21%
35,Vue3,BB,"['jett', 'breach', 'reyna']",249,1.06,175.4,0.80,77%,109.8,0.62,0.19,0.10,0.12,24%,4%
36,UR,RIG.L,"['gekko', 'viper', 'sova']",1161,1.05,207.7,1.02,70%,138.8,0.73,0.32,0.09,0.09,23%,22%
37,Munchkin,GEN,"['cypher', 'killjoy', 'raze']",1696,1.05,234.4,1.12,71%,148.0,0.79,0.24,0.17,0.15,22%,14%
38,allow,IGZ,"['jett', 'raze', 'yoru']",576,1.05,228.9,1.02,68%,157.9,0.79,0.20,0.12,0.14,26%,15%
39,Jerry,BCS,"['cypher', 'chamber', 'iso']",383,1.05,209.0,1.05,72%,138.8,0.77,0.19,0.11,0.11,36%,21%
40,Caedye,RID,"['jett', 'raze', 'yoru']",1986,1.05,221.9,1.10,72%,143.7,0.78,0.24,0.14,0.11,31%,18%
41,Jan,CGZ,"['fade', 'breach', 'gekko']",1159,1.05,195.2,1.01,72%,132.5,0.69,0.29,0.08,0.08,29%,13%
42,Akame,DFM,"['kayo', 'chamber', 'killjoy']",3048,1.05,216.9,1.05,72%,145.8,0.76,0.30,0.12,0.12,25%,14%
43,romia,FL.GC,"['killjoy', 'cypher', 'gekko']",1276,1.04,199.2,1.09,71%,132.8,0.72,0.20,0.08,0.08,26%,20%
44,Suggest,GEN,"['chamber', 'jett', 'kayo']",504,1.03,215.8,0.98,72%,143.8,0.75,0.25,0.11,0.11,30%,5%
45,SugarZ3ro,ZETA,"['jett', 'omen', 'astra']",4555,1.03,191.3,1.01,73%,125.0,0.69,0.36,0.05,0.07,28%,17%
46,Yoshiii,RC,"['killjoy', 'cypher', 'vyse']",3169,1.03,210.9,1.05,71%,140.5,0.75,0.25,0.10,0.10,28%,17%
47,mittiii,FL,"['sage', 'sova', 'jett']",760,1.03,221.4,1.08,67%,136.3,0.78,0.18,0.15,0.14,18%,12%
48,Dep,ZETA,"['jett', 'raze', 'omen']",5080,1.02,226.1,1.08,69%,142.3,0.80,0.20,0.14,0.13,25%,14%
49,tf,NFX,"['killjoy', 'cypher', 'kayo']",2362,1.02,212.5,1.01,70%,138.9,0.73,0.27,0.13,0.12,23%,14%
50,HaReeee,NTH,"['brimstone', 'phoenix', 'reyna']",1971,1.02,218.3,1.02,66%,138.0,0.75,0.22,0.12,0.10,28%,12%
51,takej,DFM,"['astra', 'viper', 'brimstone']",2561,1.02,217.3,1.12,70%,136.8,0.77,0.25,0.12,0.10,31%,14%
52,SereNa,DRX.CH,"['killjoy', 'cypher', 'vyse']",1162,1.01,202.2,1.00,69%,136.5,0.71,0.20,0.10,0.08,25%,14%
53,CLZ,ZETA,"['jett', 'reyna', 'sage']",4122,1.01,195.5,0.98,72%,129.1,0.69,0.29,0.10,0.10,25%,19%
54,Brofeld,RC,"['omen', 'fade', 'viper']",2414,1.01,193.4,1.01,71%,128.1,0.70,0.23,0.08,0.08,26%,13%
55,Esperanza,NFX,"['cypher', 'breach', 'killjoy']",1757,1.01,197.4,1.01,71%,131.0,0.71,0.24,0.08,0.09,32%,14%
56,YuRinChi,FL.GC,"['cypher', 'vyse', 'viper']",392,1.01,201.1,1.05,72%,133.5,0.70,0.27,0.07,0.09,25%,13%
57,SamuraiDeeper,CGZ,"['jett', 'sova', 'chamber']",495,1.01,201.0,0.97,73%,132.6,0.69,0.30,0.08,0.06,25%,14%
58,Feez,RC,"['cypher', 'omen', 'killjoy']",1330,1.01,192.4,1.00,72%,125.8,0.67,0.27,0.05,0.05,16%,11%
59,DoHee,MTR,"['raze', 'tejo', 'fade']",402,1.01,209.1,1.02,72%,145.5,0.73,0.24,0.08,0.10,26%,14%
60,Ippanjinnoarare,ASV,"['viper', 'sova', 'yoru']",229,1.00,191.8,0.98,69%,126.0,0.69,0.26,0.09,0.11,22%,15%
61,KomIkku,HIT,"['cypher', 'jett', 'skye']",285,1.00,188.8,0.93,69%,122.4,0.66,0.25,0.07,0.07,29%,17%
62,Jinx,E36,"['phoenix', 'reyna', 'raze']",695,1.00,220.0,0.96,69%,139.5,0.72,0.25,0.15,0.18,22%,18%
63,Jinboong,DFM,"['cypher', 'fade', 'killjoy']",1980,1.00,196.2,0.99,69%,132.2,0.69,0.20,0.09,0.10,33%,14%
64,envy,FL,"['brimstone', 'cypher', 'skye']",335,1.00,210.3,1.00,69%,129.0,0.73,0.18,0.09,0.11,23%,10%
65,A1ka,DRX.CH,"['killjoy', 'cypher', 'fade']",473,1.00,197.3,0.97,66%,138.9,0.69,0.16,0.10,0.08,25%,22%
66,flora,BCS,"['cypher', 'omen', 'vyse']",478,1.00,202.6,1.00,67%,138.1,0.73,0.20,0.09,0.11,31%,12%
67,GangPin,T1A,"['sova', 'skye', 'fade']",2097,1.00,193.0,0.98,73%,127.1,0.68,0.33,0.08,0.09,28%,13%
68,NOBITA,QTD,"['sova', 'cypher', 'killjoy']",2782,0.99,197.1,0.96,71%,130.7,0.69,0.31,0.08,0.08,25%,13%
69,onni,EOTO,"['omen', 'jett', 'brimstone']",404,0.99,202.3,0.98,67%,125.5,0.72,0.29,0.10,0.11,29%,12%
70,yuzu,EOTO,"['killjoy', 'omen', 'astra']",504,0.99,197.2,0.96,68%,127.8,0.69,0.29,0.09,0.06,27%,18%
71,Xdll,ZETA,"['astra', 'viper', 'brimstone']",3795,0.99,203.3,0.97,70%,134.2,0.71,0.31,0.09,0.10,27%,15%
72,Absol,MRSH,"['skye', 'raze', 'jett']",1609,0.99,216.1,1.00,67%,140.7,0.76,0.19,0.18,0.16,20%,23%
73,GON,FL,"['viper', 'omen', 'astra']",3421,0.99,182.9,0.99,73%,120.5,0.65,0.36,0.06,0.07,29%,14%
74,ScoPe,RRX,"['kayo', 'viper', 'sova']",308,0.99,198.7,1.02,67%,133.1,0.71,0.22,0.08,0.08,31%,15%
75,Luca,DLT,"['viper', 'kayo', 'breach']",720,0.99,184.2,0.94,69%,122.4,0.67,0.30,0.06,0.08,32%,21%
76,Festival,MTR,"['jett', 'neon', 'raze']",557,0.99,225.6,1.01,65%,145.3,0.77,0.20,0.17,0.17,26%,18%
77,MrTenzouEz,FL,"['viper', 'kayo', 'skye']",3302,0.99,193.9,0.98,72%,129.3,0.68,0.28,0.08,0.08,33%,10%
78,GGonyaK,EOTO,"['jett', 'raze', 'sage']",404,0.99,215.3,1.02,67%,141.3,0.77,0.18,0.12,0.13,31%,16%
79,Sayaplayer,RC,"['raze', 'jett', 'breach']",1048,0.99,202.0,1.03,68%,132.3,0.73,0.19,0.15,0.16,28%,16%
80,rion,CR,"['omen', 'reyna', 'breach']",1560,0.98,193.7,1.02,70%,123.8,0.70,0.24,0.09,0.08,28%,16%
81,TENSAI,NFX,"['phoenix', 'reyna', 'sova']",1364,0.98,206.2,0.93,71%,135.7,0.68,0.34,0.07,0.08,22%,10%
82,fukukeN,DLT,"['sova', 'skye', 'breach']",676,0.98,195.5,0.93,70%,129.4,0.67,0.39,0.05,0.09,32%,16%
83,kobra,FN,"['jett', 'brimstone', 'chamber']",1408,0.98,220.5,1.02,64%,141.8,0.77,0.13,0.17,0.16,27%,12%
84,muto,RC,"['omen', 'brimstone', 'skye']",2424,0.98,183.0,0.95,74%,125.4,0.64,0.35,0.07,0.06,27%,13%
85,BRIAN,RC,"['chamber', 'raze', 'yoru']",2113,0.98,213.2,0.99,70%,142.0,0.74,0.25,0.15,0.15,28%,10%
86,neth,FL,"['jett', 'raze', 'omen']",5487,0.98,193.2,1.02,72%,124.4,0.68,0.29,0.07,0.08,23%,14%
87,Medusa,SZ,"['kayo', 'astra', 'killjoy']",3658,0.98,202.8,1.01,69%,133.9,0.70,0.24,0.11,0.11,28%,18%
88,Moothie,CGZ,"['sova', 'raze', 'omen']",1426,0.98,191.8,0.90,69%,126.1,0.66,0.29,0.08,0.10,31%,10%
89,daf,MTR,"['jett', 'raze', 'sova']",491,0.98,203.5,0.95,68%,135.6,0.70,0.26,0.13,0.13,22%,10%
90,maripo,RIG.L,"['sova', 'skye', 'fade']",890,0.98,189.0,0.96,70%,125.8,0.69,0.28,0.06,0.09,21%,16%
91,oitaN,IGZ,"['cypher', 'killjoy', 'breach']",2544,0.97,191.8,0.93,68%,133.6,0.66,0.23,0.08,0.09,25%,11%
