,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,keenc,EG.GC,"['raze', 'killjoy', 'chamber']",2064,1.40,291.4,1.57,78%,181.8,1.03,0.20,0.20,0.09,19%,18%
1,florescent,APK,"['reyna', 'raze', 'jett']",6171,1.33,286.7,1.43,75%,184.6,1.01,0.21,0.20,0.13,30%,17%
2,aspas,MIBR,"['reyna', 'raze', 'jett']",1894,1.27,250.4,1.39,75%,165.0,0.90,0.18,0.18,0.11,29%,16%
3,StarBound,WADA,"['jett', 'killjoy', 'cypher']",4883,1.20,229.5,1.30,74%,151.3,0.82,0.19,0.12,0.07,19%,13%
4,WARDELL,TSM,"['sova', 'jett', 'brimstone']",4670,1.20,241.8,1.37,74%,149.0,0.88,0.15,0.17,0.09,21%,15%
5,woddy,FUR,"['sova', 'fade', 'skye']",1060,1.20,219.9,1.19,74%,150.0,0.80,0.25,0.06,0.05,36%,10%
6,malibu,NOOT,"['viper', 'skye', 'kayo']",303,1.19,248.0,1.18,74%,157.5,0.84,0.37,0.12,0.09,37%,33%
7,kiara,232,"['chamber', 'jett']",232,1.19,244.9,1.23,67%,153.6,0.89,0.18,0.12,0.11,29%,13%
8,Verno,MIBR,"['kayo', 'sage', 'skye']",8131,1.19,210.3,1.26,76%,139.3,0.76,0.30,0.07,0.05,25%,17%
9,r,a,"['sova', 'harbor', 'viper']",257,1.18,237.3,1.16,74%,157.1,0.82,0.39,0.10,0.09,27%,19%
10,kaho,RESO,"['raze', 'jett', 'reyna']",1798,1.17,244.0,1.19,73%,160.4,0.84,0.24,0.15,0.12,23%,16%
11,ondoerae,397,"['viper', 'gekko', 'yoru']",397,1.17,245.9,1.22,71%,161.4,0.87,0.24,0.17,0.13,21%,26%
12,dodonut,SRG,"['viper', 'jett', 'raze']",8497,1.17,239.2,1.20,73%,157.5,0.83,0.25,0.16,0.13,23%,21%
13,PLAYER,348,"['sova', 'jett']",348,1.16,243.7,1.14,76%,157.6,0.83,0.25,0.16,0.10,20%,10%
14,Smoke,YFP,"['jett', 'chamber', 'sage']",2512,1.16,235.6,1.24,72%,151.1,0.84,0.17,0.13,0.07,20%,15%
