,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
0,ntk,ODM,"['raze', 'sova', 'sage']",855,1.43,230.3,1.05,77%,147.7,0.75,0.27,0.12,0.10,17%,19%
1,Sh0ckwave,FNK,"['sova', 'cypher', 'killjoy']",632,1.38,193.9,0.97,76%,122.8,0.69,0.22,0.08,0.07,22%,16%
2,sant,ODK,"['sova', 'reyna', 'raze']",277,1.38,203.6,0.90,75%,140.5,0.70,0.25,0.13,0.14,22%,10%
3,keznit,KRÜ,"['jett', 'reyna', 'phoenix']",579,1.37,288.9,1.36,74%,173.9,0.99,0.27,0.24,0.15,22%,20%
4,byrf,INF,"['sova', 'breach', 'sage']",603,1.36,214.0,1.18,77%,134.5,0.73,0.38,0.06,0.06,25%,10%
5,xander,RETA,"['jett', 'reyna', 'phoenix']",809,1.30,246.8,1.15,76%,152.0,0.85,0.22,0.20,0.15,17%,20%
6,Maverick,AJF,"['breach', 'reyna', 'brimstone']",401,1.28,203.3,0.89,75%,136.3,0.70,0.27,0.12,0.12,23%,8%
7,v1xen,NIP,"['brimstone', 'omen', 'astra']",631,1.22,193.4,1.16,85%,125.4,0.71,0.25,0.07,0.06,24%,14%
8,BEAST,19,"['sova', 'sage', 'breach']",559,1.20,206.1,1.02,86%,132.1,0.70,0.40,0.06,0.08,17%,16%
9,Zakren,AUS,"['cypher', 'killjoy', 'sage']",579,1.19,176.3,0.93,87%,117.0,0.61,0.30,0.05,0.07,17%,15%
10,Lied,AKV.GC,"['breach', 'fade', 'skye']",537,1.18,211.3,1.18,75%,138.7,0.73,0.39,0.07,0.08,19%,22%
11,Clarenz,6K,"['omen', 'brimstone', 'astra']",559,1.16,197.9,1.01,71%,128.5,0.70,0.38,0.05,0.07,16%,21%
12,Champzera,TBK,"['viper', 'brimstone', 'sova']",835,1.12,179.3,0.89,58%,118.1,0.64,0.23,0.06,0.08,22%,15%
13,BladeZ,MIBR.AC,"['jett', 'omen', 'sage']",362,1.11,207.0,0.97,69%,137.0,0.72,0.20,0.13,0.12,27%,13%
14,Danielesflo,TC,"['raze', 'brimstone', 'omen']",865,1.09,216.4,1.03,76%,140.3,0.74,0.34,0.10,0.09,21%,14%
15,AlexaIsHot,INFX,"['omen', 'viper', 'kayo']",320,1.08,212.5,1.17,69%,138.2,0.78,0.24,0.13,0.13,17%,21%
16,pANcada,LOUD,"['sage', 'omen', 'astra']",486,1.07,205.6,1.18,77%,130.8,0.73,0.27,0.07,0.06,27%,13%
17,fame,COOP,"['cypher', 'omen', 'raze']",231,1.06,204.4,1.08,74%,123.7,0.72,0.16,0.13,0.08,22%,22%
18,dgzin,DIRE,"['jett', 'reyna']",440,1.06,246.0,1.17,71%,141.1,0.87,0.14,0.20,0.18,29%,24%
19,zakkv,B4,"['sova', 'raze', 'kayo']",415,1.04,213.7,0.97,71%,134.7,0.71,0.38,0.08,0.08,18%,15%
20,tuyz,FUR,"['jett', 'raze', 'sage']",1088,1.04,212.8,0.98,73%,136.9,0.71,0.24,0.11,0.10,21%,8%
21,fuzari,AJF,"['cypher', 'viper']",502,1.03,198.2,1.08,72%,122.8,0.70,0.24,0.07,0.07,25%,19%
